book_id,title,price_gbp,price_inr,rating,in_stock,category_name
45,Without Borders (Wanderlove #1),45.07,4754.88,2,1,New Adult
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,1,Nonfiction
100,In the Country We Love: My Family Divided,22.0,2321.0,4,1,Nonfiction
42,Reasons to Stay Alive,26.41,2786.26,2,1,Nonfiction
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2092.06,2,1,Nonfiction
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4413.06,4,1,Nonfiction
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33,1,1,Nonfiction
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.78,3,1,Nonfiction
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3917.22,1,1,Nonfiction
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1769.24,3,1,Nonfiction
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.16,3,1,Nonfiction
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,1,Nonfiction
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,4251.65,5,1,Nonfiction
35,Sophie's World,15.94,1681.67,5,1,Philosophy
69,The Death of Humanity: and the Case for Life,58.11,6130.6,4,1,Philosophy
1,A Light in the Attic,51.77,5461.74,3,1,Poetry
17,Olio,23.88,2519.34,1,1,Poetry
12,Shakespeare's Sonnets,20.66,2179.63,4,1,Poetry
41,Slow States of Collapse: Poems,57.31,6046.2,3,1,Poetry
10,The Black Maria,52.15,5501.82,1,1,Poetry
48,Untitled Collection: Sabbath Poems 2014,14.27,1505.48,4,1,Poetry
40,You can't bury them all: Poems,33.63,3547.96,2,1,Poetry
19,Libertarianism for Beginners,51.33,5415.32,2,1,Politics
25,Black Dust,34.53,3642.92,5,1,Romance
24,Chase Me (Paris Nights #2),25.27,2665.98,5,1,Romance
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,1,Science
99,Join,35.67,3763.19,5,1,Science Fiction
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,3965.75,1,1,Science Fiction
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,4889.92,1,1,Self Help
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.56,2,1,Sequential Art
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85,3,1,Sequential Art
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0,2,1,Sequential Art
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4,1,Sequential Art
85,Patience,10.16,1071.88,3,1,Sequential Art
83,"Pop Gun War, Volume 1: Gift",18.97,2001.33,1,1,Sequential Art
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,1,Sequential Art
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,1,Sequential Art
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,1,Sequential Art
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,1,Sequential Art
61,The Nameless City (The Nameless City #1),38.16,4025.88,4,1,Sequential Art
54,This One Summer,19.49,2056.19,4,1,Sequential Art
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,1,Sequential Art
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.25,1,1,Sequential Art
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3401.32,5,1,Spirituality
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5,1,Spirituality
39,Behind Closed Doors,52.22,5509.21,4,1,Thriller
21,In Her Wake,12.84,1354.62,1,1,Thriller
33,The Elephant Tree,23.82,2513.01,5,1,Thriller
20,It's Only the Himalayas,45.17,4765.44,2,1,Travel
90,Obsidian (Lux #1),14.86,1567.73,2,1,Young Adult
13,Set Me Free,17.46,1842.03,5,1,Young Adult
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,4770.71,3,1,Young Adult
6,The Requiem Red,22.65,2389.57,1,1,Young Adult
